date,pm25,pm10,no2,so2,co,o3
2017-12-20,218.713,308.806,31.045,19.748,2319.204,46.120
2017-12-21,201.583,284.625,43.822,19.284,2154.332,49.840
2017-12-22,206.626,291.804,41.022,19.890,1981.856,47.256
2017-12-23,200.229,282.836,30.783,19.577,1965.817,53.631
2017-12-24,185.753,262.369,29.164,19.693,1782.314,51.823
2017-12-25,186.556,263.377,33.044,21.027,1874.654,45.622
2017-12-26,187.592,264.895,30.958,18.115,1747.015,62.241
2017-12-27,159.411,225.100,24.580,16.184,1524.315,54.218
2017-12-28,179.544,253.506,33.805,18.236,1647.064,46.262
2017-12-29,171.534,242.217,36.777,17.037,1853.191,51.175
2017-12-30,169.605,239.504,31.138,19.394,1842.992,49.456
2017-12-31,191.604,270.527,37.253,21.846,1934.532,47.185
2018-01-01,206.524,291.617,33.034,21.751,2034.984,50.912
2018-01-02,195.406,275.876,27.243,20.837,2053.878,63.090
2018-01-03,174.101,245.717,20.138,17.720,2011.893,88.725
2018-01-04,203.223,286.954,23.830,16.317,2137.618,78.423
2018-01-05,191.140,269.902,21.324,12.965,1908.448,72.743
2018-01-06,171.931,242.824,23.094,15.090,1967.546,77.106
2018-01-07,203.113,286.677,21.984,13.234,1989.946,72.251
2018-01-08,200.086,282.199,24.487,12.007,1736.138,59.591
2018-01-09,186.952,263.606,26.615,16.677,1610.298,55.021
2018-01-10,225.173,317.378,25.938,17.556,1863.351,58.375
2018-01-11,240.434,339.089,31.686,17.738,2004.532,55.450
2018-01-12,260.037,366.986,34.003,17.731,2202.703,55.589
2018-01-13,293.454,414.200,43.416,17.452,2569.364,52.015
2018-01-14,307.614,434.198,34.922,14.111,2551.999,67.622
2018-01-15,239.325,337.950,43.214,13.422,2283.792,66.907
2018-01-16,226.402,319.669,38.967,14.003,2230.232,67.563
2018-01-17,213.214,300.949,24.751,16.959,2023.889,62.436
2018-01-18,190.597,269.065,28.508,15.431,2125.506,66.320
2018-01-19,162.710,229.696,24.506,16.771,2038.826,68.987
2018-01-20,191.964,270.902,28.901,17.843,2124.464,69.350
2018-01-21,203.572,287.356,30.288,18.430,2176.072,60.388
2018-01-22,208.672,294.510,30.398,17.449,1961.351,60.589
2018-01-23,237.040,334.492,30.180,21.229,2414.085,54.840
2018-01-24,256.232,361.535,34.005,22.867,2861.975,57.625
2018-01-25,209.967,295.881,35.853,18.617,2247.384,68.647
2018-01-26,167.956,236.263,24.832,17.304,1541.228,68.765
2018-01-27,210.233,296.049,28.320,19.591,1637.568,73.217
2018-01-28,215.422,303.524,36.535,20.104,1962.989,60.453
2018-01-29,235.805,331.795,36.397,20.903,2206.152,54.727
2018-01-30,241.676,339.933,34.541,22.066,2264.095,57.275
2018-01-31,224.943,316.436,39.583,21.301,2133.802,59.678
2018-02-01,252.446,355.353,28.945,24.502,2584.068,57.296
2018-02-02,340.717,479.128,36.359,24.856,3205.165,60.404
2018-02-03,297.019,417.122,35.447,23.020,2828.831,70.609
2018-02-04,203.567,285.599,28.505,19.043,1759.037,73.435
2018-02-05,228.152,319.784,31.699,18.578,1639.600,62.108
2018-02-06,198.923,279.276,32.458,19.060,1913.963,71.420
2018-02-07,191.154,269.094,32.628,19.349,1715.909,74.777
2018-02-08,174.869,246.282,21.861,19.713,1399.803,74.709
2018-02-09,167.000,235.167,23.467,20.169,1391.460,80.484
2018-02-10,193.096,272.175,32.813,22.332,1745.923,54.168
2018-02-11,188.308,265.610,35.962,20.530,1730.222,54.629
2018-02-12,146.755,207.044,25.623,16.911,1460.242,75.766
2018-02-13,137.001,193.357,18.794,15.369,1311.140,84.566
2018-02-14,144.108,203.422,28.925,19.218,1381.158,69.097
2018-02-15,164.908,232.643,33.416,20.165,1334.288,60.272
2018-02-16,144.877,204.470,24.845,16.411,1223.702,80.874
2018-02-17,195.816,276.426,36.821,21.764,1686.079,66.664
2018-02-18,244.811,344.838,25.918,25.281,2149.422,59.478
2018-02-19,247.457,348.167,33.012,24.647,2319.924,63.532
2018-02-20,230.776,324.488,31.993,23.498,2149.484,65.796
2018-02-21,237.460,333.839,33.756,23.817,2343.038,62.802
2018-02-22,223.565,314.498,26.136,24.002,2400.754,66.586
2018-02-23,192.032,269.931,37.412,19.228,1936.312,78.926
2018-02-24,164.743,231.187,29.365,20.017,1524.220,64.345
2018-02-25,153.109,214.519,30.910,17.560,1239.604,66.215
2018-02-26,144.842,202.937,23.004,17.501,1266.091,75.854
2018-02-27,142.897,200.784,30.091,17.197,1494.162,69.508
2018-02-28,158.405,223.076,29.372,20.459,1840.150,67.376
2018-03-01,197.609,278.331,31.598,21.716,2181.142,67.227
2018-03-02,182.412,257.027,33.876,17.985,1835.124,82.601
2018-03-03,95.819,134.031,16.705,13.357,682.186,85.097
2018-03-04,88.623,124.243,14.801,10.927,591.886,75.709
2018-03-05,110.756,155.973,13.577,10.121,712.231,91.184
2018-03-06,139.964,197.189,28.182,18.729,1206.810,76.605
2018-03-07,141.610,199.655,19.787,18.702,1384.412,57.747
2018-03-08,140.525,197.841,27.609,15.969,1501.604,84.666
2018-03-09,137.385,193.448,26.920,15.707,1379.474,97.199
2018-03-10,139.488,197.154,29.632,17.819,1293.526,77.101
2018-03-11,154.735,218.500,38.052,18.476,1570.930,74.738
2018-03-12,128.805,181.784,25.042,16.765,1217.618,72.116
2018-03-13,106.059,149.429,22.433,11.650,875.424,78.509
2018-03-14,115.357,162.267,21.544,10.556,954.508,73.585
2018-03-15,113.168,159.484,21.281,12.513,949.894,72.539
2018-03-16,114.294,161.074,15.194,12.959,771.883,103.943
2018-03-17,102.911,144.761,18.546,13.725,759.258,85.698
2018-03-18,146.553,206.193,22.265,17.035,1177.633,69.680
