month_start,year,month,month_name,season,pm25_mean,pm25_median,pm25_min,pm25_max,pm10_mean,pm10_median,pm10_min,pm10_max,no2_mean,no2_median,no2_min,no2_max,so2_mean,so2_median,so2_min,so2_max,co_mean,co_median,co_min,co_max,o3_mean,o3_median,o3_min,o3_max,aqi_mean,aqi_median,aqi_min,aqi_max,pm25_station_count,pm25_mean_data_capture_pct,pm25_unit_as_reported,pm25_unit_status,pm10_station_count,pm10_mean_data_capture_pct,pm10_unit_as_reported,pm10_unit_status,no2_station_count,no2_mean_data_capture_pct,no2_unit_as_reported,no2_unit_status,so2_station_count,so2_mean_data_capture_pct,so2_unit_as_reported,so2_unit_status,co_station_count,co_mean_data_capture_pct,co_unit_as_reported,co_unit_status,o3_station_count,o3_mean_data_capture_pct,o3_unit_as_reported,o3_unit_status,aqi_days_reported,aqi_calendar_days,aqi_coverage_pct,aqi_source_basis,pollutant_aggregation_basis,geography
2015-12-01,2015,12,December,Winter,168.33333333333334,,80.8,263.0,261.0,,128.0,404.0,140.5,,49.6,282.0,17.8,,2.23,60.1,2.183333333333333,,0.34,6.39,4.7,,0.52,17.9,,,,,3.0,90.0,ug/m3,resolved,2.0,85.0,ug/m3,resolved,2.0,70.5,ppb,resolved,2.0,94.5,ppb,resolved,3.0,91.0,ppm,resolved,1.0,52.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2016-01-01,2016,1,January,Winter,,,,,,,,,110.0,,33.8,192.0,15.200000000000001,,2.4,28.2,1.455,,0.22,5.89,4.15,,0.56,18.8,,,,,,,,,,,,,1.0,70.0,ppb,resolved,2.0,77.0,ppb,resolved,2.0,84.0,ppm,resolved,1.0,70.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2016-02-01,2016,2,February,Winter,140.5,,33.2,290.0,285.0,,113.0,448.0,81.1,,25.7,166.0,15.149999999999999,,1.22,29.6,2.075,,0.22,8.31,6.8,,0.44,26.0,,,,,2.0,75.0,ug/m3,resolved,1.0,80.0,ug/m3,resolved,1.0,84.0,ppb,resolved,2.0,87.5,ppb,resolved,2.0,85.5,ppm,resolved,1.0,67.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2016-03-01,2016,3,March,Pre-monsoon,105.2,,48.2,247.0,270.0,,192.0,476.0,64.2,,21.6,181.0,12.649999999999999,,2.31,31.8,1.8900000000000001,,0.24,5.06,7.87,,0.94,34.9,,,,,2.0,80.5,ug/m3,resolved,1.0,29.0,ug/m3,resolved,1.0,94.0,ppb,resolved,2.0,92.0,ppb,resolved,2.0,93.5,ppm,resolved,1.0,96.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2016-04-01,2016,4,April,Pre-monsoon,44.96666666666667,,29.3,83.5,105.0,,78.1,142.0,21.4,,12.19,40.0,3.69,,1.14,12.3,1.6300000000000001,,0.09,5.34,2.5300000000000002,,0.53,15.9,,,,,3.0,73.66666666666667,ug/m3,resolved,1.0,60.0,ug/m3,resolved,1.0,93.0,ppb,resolved,1.0,66.0,ppb,resolved,3.0,81.66666666666667,ppm,resolved,2.0,85.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2016-05-01,2016,5,May,Pre-monsoon,52.76666666666667,,12.7,98.6,96.15,,34.0,179.0,37.2,,17.4,66.6,5.49,,1.33,13.7,1.5499999999999998,,0.11,10.2,5.39,,0.69,23.0,,,,,3.0,78.66666666666667,ug/m3,resolved,2.0,80.5,ug/m3,resolved,1.0,65.0,ppb,resolved,1.0,80.0,ppb,resolved,3.0,63.666666666666664,ppm,resolved,1.0,62.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2016-06-01,2016,6,June,Monsoon,29.95,,12.9,59.0,66.35,,0.0,145.0,28.6,,6.37,51.8,6.5,,1.86,42.6,1.28,,0.23,6.67,2.87,,0.54,9.66,,,,,2.0,80.0,ug/m3,resolved,2.0,62.666666666666664,ug/m3,resolved,1.0,80.0,ppb,resolved,1.0,78.0,ppb,resolved,3.0,82.66666666666667,ppm,resolved,1.0,79.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2016-07-01,2016,7,July,Monsoon,18.75,,9.21,40.0,38.7,,20.6,158.0,13.0,,3.36,40.9,3.57,,1.97,6.49,1.3033333333333332,,0.11,7.05,2.78,,0.58,10.6,,,,,2.0,71.0,ug/m3,resolved,2.0,67.0,ug/m3,resolved,1.0,80.0,ppb,resolved,1.0,88.0,ppb,resolved,3.0,93.0,ppm,resolved,1.0,94.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2016-08-01,2016,8,August,Monsoon,31.6,,11.3,72.4,70.2,,26.9,186.0,19.9,,7.67,47.3,1.885,,0.16,4.82,1.255,,0.2,2.56,2.84,,0.8,14.2,,,,,1.0,91.0,ug/m3,resolved,1.0,94.0,ug/m3,resolved,1.0,95.0,ppb,resolved,2.0,89.5,ppb,resolved,2.0,91.5,ppm,resolved,1.0,97.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2016-09-01,2016,9,September,Monsoon,32.7,,17.5,71.8,62.6,,35.8,123.0,24.8,,6.82,71.5,1.995,,0.56,6.67,1.38,,0.13,3.78,2.12,,0.78,7.76,,,,,1.0,82.0,ug/m3,resolved,1.0,73.0,ug/m3,resolved,1.0,92.0,ppb,resolved,2.0,86.0,ppb,resolved,2.0,90.5,ppm,resolved,1.0,94.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2016-10-01,2016,10,October,Post-monsoon,44.1,,19.0,75.2,88.55000000000001,,33.1,148.0,34.1,,11.0,64.5,4.545,,0.9,10.1,1.585,,0.12,3.59,5.44,,0.78,23.7,,,,,1.0,61.0,ug/m3,resolved,2.0,94.0,ug/m3,resolved,1.0,78.0,ppb,resolved,2.0,79.5,ppb,resolved,2.0,85.5,ppm,resolved,1.0,79.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
