report_month,station_label_as_reported,parameter,parameter_as_reported,statistic_as_reported,value_as_reported,value,unit,is_missing,page_number,table_number,extraction_method,source_url,source_sha256
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,PM10,PM10 -24 hr,Max,498.42,498.42,µg /m3,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,PM10,PM10 -24 hr,Min,193.00,193.0,µg /m3,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,PM2.5,PM2.5 -24 hr,%Data capture,93.25,93.25,percent,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,PM2.5,PM2.5 -24 hr,Average,231.36,231.36,µg /m3,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,PM2.5,PM2.5 -24 hr,Excedance Days,31.00,31.0,days,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,PM2.5,PM2.5 -24 hr,Max,355.17,355.17,µg /m3,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,PM2.5,PM2.5 -24 hr,Min,90.29,90.29,µg /m3,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,SO2,SO2 -24 hr,%Data capture,99.23,99.23,percent,False,6,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,SO2,SO2 -24 hr,Average,21.14,21.14,ppb,False,6,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,SO2,SO2 -24 hr,Excedance Days,0.00,0.0,days,False,6,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
